2021-06-01 14:58:50,250 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 14:58:50,453 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 14:58:50,574 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 14:58:50,834 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop)
2021-06-01 14:58:50,842 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:59:43,082 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:59:43,082 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:59:43,082 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 14:59:43,082 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 14:59:43,092 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 14:59:43,332 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-06-01 14:59:43,518 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-06-01 14:59:43,613 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-06-01 14:59:43,774 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 14:59:44,654 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application IntelliJ IDEA Ultimate Edition (/usr/share/applications/jetbrains-idea.desktop)
2021-06-01 14:59:44,668 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 15:01:01,301 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 15:01:01,302 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 15:01:01,302 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-06-01 15:01:01,302 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 4096, H: 2160
2021-06-01 15:01:01,313 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-06-01 15:01:02,026 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2021-06-01 15:01:02,628 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-06-01 15:01:02,806 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2021-06-01 15:01:03,088 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2021-06-01 15:01:03,291 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2021-06-01 15:01:03,805 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 15:01:03,996 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-06-01 15:01:04,126 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-06-01 15:01:04,414 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop)
2021-06-01 15:01:04,422 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
